Series_reference,Salary,STATUS,Subject,Group,Industry
BDCQ.SEA1BA,5080,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5129,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5157,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5264,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5164,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5208,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5381,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5370,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5385,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5461,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5434,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5437,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5068,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5370,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5165,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5267,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5245,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5318,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1CA,206633,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,200677,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,204217,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,208617,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,206645,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,199425,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,203691,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,208709,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,205207,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,201457,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,207492,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,211991,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,210124,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,205440,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,207594,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,214158,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,212246,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,207462,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,211402,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,216597,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,214710,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,209854,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,215317,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,219090,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,219130,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,213648,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,220066,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,225445,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,224308,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,218059,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,223667,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,227931,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,225492,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,220047,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,227095,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,228672,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,224825,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1CA,216898,F,Business Data Collection - BDC,Industry by employment variable,Manufacturing
BDCQ.SEA1DA,14486,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,14796,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15026,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15065,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15046,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15188,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15269,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15844,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15895,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15773,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,16010,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15570,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15347,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15515,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15830,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,16017,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15972,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,15962,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,16143,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,16372,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,16416,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,16533,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,16245,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,17207,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,17243,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,17678,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,18145,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,18505,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,18511,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,18512,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,18812,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,18937,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,19046,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,19316,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,19634,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,19770,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,19791,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1DA,19903,F,Business Data Collection - BDC,Industry by employment variable,"Electricity, Gas, Water and Waste Services"
BDCQ.SEA1EA,100016,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,100783,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,102394,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,103061,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,104955,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,105360,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,108315,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,108983,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,112850,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,111615,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,115478,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,117532,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,119951,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,120120,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,123363,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,125058,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,125669,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,125497,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,128006,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,129884,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,132499,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,133534,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,137679,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,140434,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,143677,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,144629,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,148802,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,150345,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,151978,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,150157,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,155400,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,157823,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,159688,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,159037,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,162608,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,163166,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,166358,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1EA,166301,F,Business Data Collection - BDC,Industry by employment variable,Construction
BDCQ.SEA1FA,90842,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,90656,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,91957,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,91173,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,91679,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,91486,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,93281,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,90916,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,92010,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,91371,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,92941,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,93004,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,93850,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,93789,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,98149,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,97793,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,98348,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,98026,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,99348,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,99941,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,101204,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,99631,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,101175,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,101660,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,102745,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,102918,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,104790,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,106407,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,105577,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,105618,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,107718,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,106746,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,107199,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,105826,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,108096,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,107888,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,106219,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1FA,103881,F,Business Data Collection - BDC,Industry by employment variable,Wholesale Trade
BDCQ.SEA1GA,173404,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,174660,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,179502,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,179680,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,177608,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,176170,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,181541,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,180982,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,178814,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,175946,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,183650,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,182034,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,179779,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,179050,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,185361,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,186086,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,183864,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,183327,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,189862,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,191045,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,189350,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,189032,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,196202,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,196952,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,194595,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,193926,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,200403,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,198648,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,196372,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,194468,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,202633,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,199795,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,197763,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,197753,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,206752,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,203022,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,200669,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1GA,197326,F,Business Data Collection - BDC,Industry by employment variable,Retail Trade
BDCQ.SEA1HA,103801,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,107456,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,110973,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,110305,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,107976,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,107651,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,111647,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,112218,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,111183,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,110574,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,115148,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,116013,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,113997,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,113381,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,119580,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,120452,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,120660,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,119106,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
BDCQ.SEA1HA,124802,F,Business Data Collection - BDC,Industry by employment variable,Accommodation and Food Services
